Tweet,Tag
"RT @kylegriffin1: Trump’s U.S. businesses have received at least $15,100,000 in revenue from political groups and federal agencies since 20…",Neutral
RT @morten: @FoxNews @Franklin_Graham Donald Trump cheated on his first wife Ivana Trump with Marla Maples. Thoughts and prayers. https://t…,Negative
"RT @AviWoolf: The GOP has nothing to sell the American public. No legislative agenda, no programs, no ideas. Just deregulation, judges, and…",Negative
@sarahkendzior Screw the dossier! So what!! Even if the dossier never happened Trump would still be on the verge of… https://t.co/A8BfACAyMN,Negative
"RT @benwikler: As Trump’s lifetime of corruption and crime comes fully into public view, remember that every tweet, every speech, every ang…",Negative
"RT @ABC: James Comey says the Trump presidency is a 'forest fire': ""His presidency is doing, and will do, tremendous damage to our norms an…",Negative
"RT @SethAbramson: God, the horrible irony in James Comey saying he was trying to save the FBI when he violated FBI protocols to inadvertent…",Negative
Tiki Torch manufacturers keep a close eye on the strongly approve of Trump numbers. That's their best market these days. #MorningJoe,Positive
RT @Partisangirl: We heard #Trump didn’t eat any chocolate cake while bombing #Syria this time unlike last year. so we made him a cake full…,Negative
Trump wants to review material seized from personal lawyer before federal investigators.That’s not how the rule of… https://t.co/goBVTJ1SOi,Negative
Adam Schiff Is About To Stop Trump’s Pardons Dead In Their Tracks - https://t.co/Y59zHoZqKg,Negative
"RT @justinhendrix: Barbara Bush on Trump: ""He's said terrible things about women... military. I don't understand why people are for him."" h…",Negative
"RT @paulkrugman: A giant ""heh"" https://t.co/QFXFA94JgU",Neutral
"RT @DanaScottLO: If Trump cripples or shuts down Mueller’s investigation, he will be striking at the foundation of our government: 
“attemp…",Negative
"1.  Haters (who also tend to be  #LIARS): 

I don’t need your support. :)

2.  Trump fanatics and allies of the  <ed><U+00A0><U+00BE><ed><U+00B4><U+00A5>… https://t.co/vuoZQJAlHa",Negative
RT @kylegriffin1: Trump asked a federal judge Sunday night to allow him to review documents that FBI agents seized from Michael Cohen’s off…,Neutral
"RT @dcmathisTN: @SteveSchmidtSES It is essential to remember what ""civilized"" people did to others - not that long ago.  Hitler came into p…",Negative
RT @FoxFriendsFirst: “Why on earth was this man anywhere near the Clinton email investigations? And why on earth was he allowed to continue…,Neutral
RT @4everNeverTrump: What's really scary is that we will start seeing lawsuits and criminal cases against Trump and his associates come up…,Negative
"RT @ArgyleLoz: Theresa May is herself i believe calling a debate in Parliament today on #SyriaStrikes, the same Parliament she avoided last…",Neutral
@LauraLoomer Then you ought to remind your guy Trump.,Neutral
A Philosophical Outlook &amp; Analysis On The Leadership Prowess Of Umahi By U Trump https://t.co/J6cFIF5TX9,Neutral
@jaketapper Trump strangely silent this morning after Comey interview...<ed><U+00A0><U+00BE><ed><U+00B4><U+0094> Must be fuming.   Hammer may fall on Rose… https://t.co/ZkAXKoUiqg,Negative
"Rand Paul calls Mueller's 2018 investigation on Trump a ""witch hunt""

Completely supported Ken Starr going after Bi… https://t.co/RlwUEG2U9A",Neutral
RT @FoxFriendsFirst: SANCTUARY REVOLT. More California towns now looking to the Trump administration’s lawsuit against the state’s ‘sanctua…,Negative
RT @washingtonpost: Trump’s reelection committee has spent more than $1 out of every $5 on legal fees this year https://t.co/6soT7KxdaH,Negative
RT @seanhannity: So @GStephanopoulos Tell your viewers what evidence you have that there is Trump/Russian collusion. George after all your…,Negative
"@JackKingston And you know this how, Jack?  Why should we believe you more than Comey?  I'm guessing you don't have… https://t.co/4mb3q7naZB",Neutral
"RT @CollinRugg: If you are no longer a Trump supporter because of the Syria strikes, you were never a supporter in the 1st place.

We don’t…",Positive
"@mikercarpenter Trump, Cohen and associates are but collateral damage. Ask yourself, ""Why was DOJ preventing Comey… https://t.co/0LWJeAuz6M",Negative
